link_id,role_id,masco_code,role_title,qa_id,qa_source_id,qa_topic,question_text,relevance_rule,license_id,source_url,review_status
M151103-OQ03,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-008,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a standalone function `bind` that is functionally equivalent to the method `Function.prototype.bind`. ```js function example() { console.log(this) } const boundExample = bind(example, { a: true }) boundExample.call({ b: true }) // logs { a: true } ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ04,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-010,GITHUB-30SECONDS-INTERVIEWS,node; javascript,"How can you avoid callback hells? ```js getData(function(a) { getMoreData(a, function(b) { getMoreData(b, function(c) { getMoreData(c, function(d) { getMoreData(d, function(e) { // ... }) }) }) }) }) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ05,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-011,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the purpose of callback function as an argument of `setState`?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ06,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-012,GITHUB-30SECONDS-INTERVIEWS,react; javascript,Which is the preferred option between callback refs and findDOMNode()?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ07,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-013,GITHUB-30SECONDS-INTERVIEWS,javascript,What is a callback? Can you show an example using one?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ08,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-014,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the `children` prop?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ01,M151107,151107,Information Technology Project Manager,OPEN-30S-005,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a function `batches` that returns the maximum number of whole batches that can be cooked from a recipe. ```js /** It accepts two objects as arguments: the first object is the recipe for the food, while the second object is the available ingredients. Each ingredient's value is a number representing how many units there are. `batches(recipe, available)` */ // 0 batches can be made batches( { milk: 100, butter: 50, flour: 5 }, { milk: 132, butter: 48, flour: 51 } ) batches( { milk: 100, flour: 4, sugar: 10, butter: 5 }, { milk: 1288, flour: 9, sugar: 95 } ) // 1 batch can be made batches( { milk: 100, butter: 50, cheese: 10 }, { milk: 198, butter: 52, cheese: 10 } ) // 2 batches can be made batches( { milk: 2, sugar: 40, butter: 20 }, { milk: 5, sugar: 120, butter: 500 } ) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ02,M151107,151107,Information Technology Project Manager,OPEN-30S-007,GITHUB-30SECONDS-INTERVIEWS,javascript,What is Big O Notation?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ03,M151107,151107,Information Technology Project Manager,OPEN-30S-008,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a standalone function `bind` that is functionally equivalent to the method `Function.prototype.bind`. ```js function example() { console.log(this) } const boundExample = bind(example, { a: true }) boundExample.call({ b: true }) // logs { a: true } ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ04,M151107,151107,Information Technology Project Manager,OPEN-30S-010,GITHUB-30SECONDS-INTERVIEWS,node; javascript,"How can you avoid callback hells? ```js getData(function(a) { getMoreData(a, function(b) { getMoreData(b, function(c) { getMoreData(c, function(d) { getMoreData(d, function(e) { // ... }) }) }) }) }) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ05,M151107,151107,Information Technology Project Manager,OPEN-30S-011,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the purpose of callback function as an argument of `setState`?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ06,M151107,151107,Information Technology Project Manager,OPEN-30S-012,GITHUB-30SECONDS-INTERVIEWS,react; javascript,Which is the preferred option between callback refs and findDOMNode()?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ07,M151107,151107,Information Technology Project Manager,OPEN-30S-013,GITHUB-30SECONDS-INTERVIEWS,javascript,What is a callback? Can you show an example using one?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151107-OQ08,M151107,151107,Information Technology Project Manager,OPEN-30S-014,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the `children` prop?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ01,M151108,151108,Information Technology Programme Manager,OPEN-30S-005,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a function `batches` that returns the maximum number of whole batches that can be cooked from a recipe. ```js /** It accepts two objects as arguments: the first object is the recipe for the food, while the second object is the available ingredients. Each ingredient's value is a number representing how many units there are. `batches(recipe, available)` */ // 0 batches can be made batches( { milk: 100, butter: 50, flour: 5 }, { milk: 132, butter: 48, flour: 51 } ) batches( { milk: 100, flour: 4, sugar: 10, butter: 5 }, { milk: 1288, flour: 9, sugar: 95 } ) // 1 batch can be made batches( { milk: 100, butter: 50, cheese: 10 }, { milk: 198, butter: 52, cheese: 10 } ) // 2 batches can be made batches( { milk: 2, sugar: 40, butter: 20 }, { milk: 5, sugar: 120, butter: 500 } ) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ02,M151108,151108,Information Technology Programme Manager,OPEN-30S-007,GITHUB-30SECONDS-INTERVIEWS,javascript,What is Big O Notation?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ03,M151108,151108,Information Technology Programme Manager,OPEN-30S-008,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a standalone function `bind` that is functionally equivalent to the method `Function.prototype.bind`. ```js function example() { console.log(this) } const boundExample = bind(example, { a: true }) boundExample.call({ b: true }) // logs { a: true } ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ04,M151108,151108,Information Technology Programme Manager,OPEN-30S-010,GITHUB-30SECONDS-INTERVIEWS,node; javascript,"How can you avoid callback hells? ```js getData(function(a) { getMoreData(a, function(b) { getMoreData(b, function(c) { getMoreData(c, function(d) { getMoreData(d, function(e) { // ... }) }) }) }) }) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ05,M151108,151108,Information Technology Programme Manager,OPEN-30S-011,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the purpose of callback function as an argument of `setState`?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ06,M151108,151108,Information Technology Programme Manager,OPEN-30S-012,GITHUB-30SECONDS-INTERVIEWS,react; javascript,Which is the preferred option between callback refs and findDOMNode()?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ07,M151108,151108,Information Technology Programme Manager,OPEN-30S-013,GITHUB-30SECONDS-INTERVIEWS,javascript,What is a callback? Can you show an example using one?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151108-OQ08,M151108,151108,Information Technology Programme Manager,OPEN-30S-014,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the `children` prop?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ01,M151112,151112,Information Technology Business Development Manager,OPEN-30S-005,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a function `batches` that returns the maximum number of whole batches that can be cooked from a recipe. ```js /** It accepts two objects as arguments: the first object is the recipe for the food, while the second object is the available ingredients. Each ingredient's value is a number representing how many units there are. `batches(recipe, available)` */ // 0 batches can be made batches( { milk: 100, butter: 50, flour: 5 }, { milk: 132, butter: 48, flour: 51 } ) batches( { milk: 100, flour: 4, sugar: 10, butter: 5 }, { milk: 1288, flour: 9, sugar: 95 } ) // 1 batch can be made batches( { milk: 100, butter: 50, cheese: 10 }, { milk: 198, butter: 52, cheese: 10 } ) // 2 batches can be made batches( { milk: 2, sugar: 40, butter: 20 }, { milk: 5, sugar: 120, butter: 500 } ) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ02,M151112,151112,Information Technology Business Development Manager,OPEN-30S-007,GITHUB-30SECONDS-INTERVIEWS,javascript,What is Big O Notation?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ03,M151112,151112,Information Technology Business Development Manager,OPEN-30S-008,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a standalone function `bind` that is functionally equivalent to the method `Function.prototype.bind`. ```js function example() { console.log(this) } const boundExample = bind(example, { a: true }) boundExample.call({ b: true }) // logs { a: true } ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ04,M151112,151112,Information Technology Business Development Manager,OPEN-30S-010,GITHUB-30SECONDS-INTERVIEWS,node; javascript,"How can you avoid callback hells? ```js getData(function(a) { getMoreData(a, function(b) { getMoreData(b, function(c) { getMoreData(c, function(d) { getMoreData(d, function(e) { // ... }) }) }) }) }) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ05,M151112,151112,Information Technology Business Development Manager,OPEN-30S-011,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the purpose of callback function as an argument of `setState`?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ06,M151112,151112,Information Technology Business Development Manager,OPEN-30S-012,GITHUB-30SECONDS-INTERVIEWS,react; javascript,Which is the preferred option between callback refs and findDOMNode()?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ07,M151112,151112,Information Technology Business Development Manager,OPEN-30S-013,GITHUB-30SECONDS-INTERVIEWS,javascript,What is a callback? Can you show an example using one?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151112-OQ08,M151112,151112,Information Technology Business Development Manager,OPEN-30S-014,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the `children` prop?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ01,M151113,151113,Software and Applications Manager,OPEN-30S-005,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a function `batches` that returns the maximum number of whole batches that can be cooked from a recipe. ```js /** It accepts two objects as arguments: the first object is the recipe for the food, while the second object is the available ingredients. Each ingredient's value is a number representing how many units there are. `batches(recipe, available)` */ // 0 batches can be made batches( { milk: 100, butter: 50, flour: 5 }, { milk: 132, butter: 48, flour: 51 } ) batches( { milk: 100, flour: 4, sugar: 10, butter: 5 }, { milk: 1288, flour: 9, sugar: 95 } ) // 1 batch can be made batches( { milk: 100, butter: 50, cheese: 10 }, { milk: 198, butter: 52, cheese: 10 } ) // 2 batches can be made batches( { milk: 2, sugar: 40, butter: 20 }, { milk: 5, sugar: 120, butter: 500 } ) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ02,M151113,151113,Software and Applications Manager,OPEN-30S-007,GITHUB-30SECONDS-INTERVIEWS,javascript,What is Big O Notation?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ03,M151113,151113,Software and Applications Manager,OPEN-30S-008,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a standalone function `bind` that is functionally equivalent to the method `Function.prototype.bind`. ```js function example() { console.log(this) } const boundExample = bind(example, { a: true }) boundExample.call({ b: true }) // logs { a: true } ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ04,M151113,151113,Software and Applications Manager,OPEN-30S-010,GITHUB-30SECONDS-INTERVIEWS,node; javascript,"How can you avoid callback hells? ```js getData(function(a) { getMoreData(a, function(b) { getMoreData(b, function(c) { getMoreData(c, function(d) { getMoreData(d, function(e) { // ... }) }) }) }) }) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ05,M151113,151113,Software and Applications Manager,OPEN-30S-011,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the purpose of callback function as an argument of `setState`?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ06,M151113,151113,Software and Applications Manager,OPEN-30S-012,GITHUB-30SECONDS-INTERVIEWS,react; javascript,Which is the preferred option between callback refs and findDOMNode()?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ07,M151113,151113,Software and Applications Manager,OPEN-30S-013,GITHUB-30SECONDS-INTERVIEWS,javascript,What is a callback? Can you show an example using one?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151113-OQ08,M151113,151113,Software and Applications Manager,OPEN-30S-014,GITHUB-30SECONDS-INTERVIEWS,react; javascript,What is the `children` prop?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M212102-OQ01,M212102,212102,Statistician,OPEN-CONT-001,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,What was your most memorable debugging experience? Can be any language.,"Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ02,M212102,212102,Statistician,OPEN-CONT-002,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"What tools are in your toolkit with regards to debugging? How do you normally debug: a) your own code, b) someone else's code (or foreign code bases). Ideally cover Python debugging and a compiled language (C/C++ ideal).","Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ03,M212102,212102,Statistician,OPEN-CONT-003,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Tell us about a chunk of code that you've written before that you're particularly fond of. What do you like about it? (e.g. elegant, evil, clever, simple) (This is along the lines of the 'http://stilldrinking.org/programming-sucks -> All Code is bad' section.)","Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ04,M212102,212102,Statistician,OPEN-CONT-004,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,Tell us about a past project that you were particularly proud/fond of from a technical perspective. What did you like about it technically?,"Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ05,M212102,212102,Statistician,OPEN-CONT-005,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,Worst code base you've ever come across? What were some of the issues? How did you rectify them?,"Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ06,M212102,212102,Statistician,OPEN-CONT-006,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Tell us about a project that required a novel, thinking-out-side-of-the-box sort of solution? What did you come up with? Why was it better than the alternatives?","Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M212102-OQ07,M212102,212102,Statistician,OPEN-CONT-007,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Describe your ideal development environment (platform, tools, editor, IDEs, compilers, language, database vendor, etc).","Role-title keyword matched global Q&A topic: relational databases, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
