"source_current_role_id","source_current_masco_code","source_current_role_title","masco2020_role_id","masco2020_code","masco2020_title","status","remap_method","remap_confidence","reason","primary_profile_for_target","source_count_for_target","target_count_for_source","source_esco_code","source_esco_title","source_portal_url","masco2020_pdf_page","masco2020_source_url","grade_source_url","alternative_2020_code","official_crosswalk"
"M122301","122301","Research and Development Manager","M122301","122301","Research and Development Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1223.2","research and development manager","https://emasco.mohr.gov.my/masco/1223-01","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131101","131101","Forestry Manager","M131102","131102","Forestry Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1311.1","forester","https://emasco.mohr.gov.my/masco/1311-01","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131102","131102","Agricultural Manager","M131106","131106","Agricultural Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","6130.1","farm manager","https://emasco.mohr.gov.my/masco/1311-02","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131103","131103","Veterinary Manager","M131111","131111","Veterinary Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1120.1","animal facility manager","https://emasco.mohr.gov.my/masco/1311-03","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131104","131104","Field Manager (Grass)","M131114","131114","Field Manager, Grass","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","6113.3","horticulture production team leader","https://emasco.mohr.gov.my/masco/1311-04","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131201","131201","Aquaculture and Fisheries Production/Operation Manager","M131202","131202","Production and Operation Manager, Fishery","retained","combined_title_split","medium","Current combined role names both fishery production/operation and aquaculture production management.","true","1","2","1312.3","aquaculture production manager","https://emasco.mohr.gov.my/masco/1312-01","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M131201","131201","Aquaculture and Fisheries Production/Operation Manager","M131203","131203","Aquaculture Production Manager","retained","combined_title_split","medium","Current combined role names both fishery production/operation and aquaculture production management.","true","1","2","1312.3","aquaculture production manager","https://emasco.mohr.gov.my/masco/1312-01","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M132101","132101","Manufacturing Manager","M132101","132101","Manufacturing Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1321.2","manufacturing manager","https://emasco.mohr.gov.my/masco/1321-01","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M132102","132102","Electrical Manager","M132104","132104","Electrical Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","3123.1.11","electrical supervisor","https://emasco.mohr.gov.my/masco/1321-02","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132103","132103","Energy Manager","M132105","132105","Energy Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1349.12","energy manager","https://emasco.mohr.gov.my/masco/1321-03","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132104","132104","Production Manager (Manufacturing)","M132102","132102","Production and Operation Manager, Manufacturing","retained","reviewed_functional_equivalent","medium","Manufacturing production management corresponds to the 2020 production-and-operation manager, manufacturing.","true","1","1","1321.2.1","industrial production manager","https://emasco.mohr.gov.my/masco/1321-04","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","","","false"
"M132105","132105","Ship Hull Manager","M132108","132108","Ship Hull Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1321.2.1","industrial production manager","https://emasco.mohr.gov.my/masco/1321-05","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132106","132106","Mechanical Manager","M132109","132109","Mechanical Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1321.2","manufacturing manager","https://emasco.mohr.gov.my/masco/1321-06","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132107","132107","Welding Manager","M132110","132110","Welding Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","7212.4","welding coordinator","https://emasco.mohr.gov.my/masco/1321-07","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132108","132108","Oil Mill Manager","M132111","132111","Oil Mill Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1321.2.1.3","food production manager","https://emasco.mohr.gov.my/masco/1321-08","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132109","132109","Manager (Halal Food Manufacturing)","M132112","132112","Manager, Halal Food Manufacturing","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1321.2.1.3","food production manager","https://emasco.mohr.gov.my/masco/1321-09","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132111","132111","Power Generation Plant Manager","M132126","132126","Power Generation Plant Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1219.5.3","power plant manager","https://emasco.mohr.gov.my/masco/1321-11","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132201","132201","Production and Operation Manager (Mine)","M132201","132201","Production and Operation Manager, Mine","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1322.1.1","mine production manager","https://emasco.mohr.gov.my/masco/1322-01","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132202","132202","Production and Operation Manager (Oil and Gas Extraction)","M132203","132203","Production and Operation Manager, Oil and Gas Extraction","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1322.1.2","oil and gas production manager","https://emasco.mohr.gov.my/masco/1322-02","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132203","132203","Offshore Installation Manager","M132207","132207","Offshore Installation Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1322.1.2","oil and gas production manager","https://emasco.mohr.gov.my/masco/1322-03","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132205","132205","Metallurgy Manager","M132210","132210","Manager, Metallurgy","retained","title_variant","high","Same occupational identity after word-order, singular/plural, spelling, acronym-position or explicit competent-person title-wrapper variation. Preserve the official 2020 printed title.","true","1","1","1321.2.1.7","metallurgical manager","https://emasco.mohr.gov.my/masco/1322-05","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132301","132301","Construction Manager","M132301","132301","Construction Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1323.1","construction manager","https://emasco.mohr.gov.my/masco/1323-01","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132302","132302","Building and Architecture Manager","M132310","132310","Building and Architecture Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1323.1","construction manager","https://emasco.mohr.gov.my/masco/1323-02","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132303","132303","Land Surveyor Manager","M132311","132311","Land Surveyor Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2165.4","land surveyor","https://emasco.mohr.gov.my/masco/1323-03","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","","","false"
"M132401","132401","Railway Station Master","M132401","132401","Railway Station Master","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1324.7","railway station manager","https://emasco.mohr.gov.my/masco/1324-01","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","","","false"
"M132402","132402","Transport Manager","M132402","132402","Transport Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1324.3.1.5","road transport division manager","https://emasco.mohr.gov.my/masco/1324-02","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","","","false"
"M132404","132404","Port/Shipping Operations Manager","M132414","132414","Shipping Manager","retained","reviewed_functional_equivalent","medium","Current duties are shipping schedules, cargo movement and port/shipping logistics management; retain the 2020 Shipping Manager identity.","true","1","1","4323.11","port coordinator","https://emasco.mohr.gov.my/masco/1324-04","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","","","false"
"M132405","132405","Halal Logistics Operation Manager","M132416","132416","Manager, Halal Logistics Operation","retained","title_variant","high","Same occupational identity after word-order, singular/plural, spelling, acronym-position or explicit competent-person title-wrapper variation. Preserve the official 2020 printed title.","true","1","1","1324.3","logistics and distribution manager","https://emasco.mohr.gov.my/masco/1324-05","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","","","false"
"M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","M151101","151101","Chief Information Officer","retained","combined_title_split","medium","Current title explicitly merges Chief Information Officer, Chief Data Officer and Chief Information Security Officer.","true","1","3","1330.2","chief information officer","https://emasco.mohr.gov.my/masco/1511-01","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","M151102","151102","Chief data officer","retained","combined_title_split","medium","Current title explicitly merges Chief Information Officer, Chief Data Officer and Chief Information Security Officer.","true","1","3","1330.2","chief information officer","https://emasco.mohr.gov.my/masco/1511-01","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","M151103","151103","Chief Information Security Officer","retained","combined_title_split","medium","Current title explicitly merges Chief Information Officer, Chief Data Officer and Chief Information Security Officer.","true","1","3","1330.2","chief information officer","https://emasco.mohr.gov.my/masco/1511-01","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151102","151102","Information Systems Manager","M151106","151106","Information Systems Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1511-02","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151103","151103","Village Community Center Manager (Information Technology)","M151108","151108","Village Community Center Manager","retained","reviewed_functional_equivalent","medium","The added information-technology qualifier clarifies the same Village Community Center Manager occupation.","true","1","1","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1511-03","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151104","151104","Internet Service Provider","M151116","151116","Internet Service Provider","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.9","telecommunications manager","https://emasco.mohr.gov.my/masco/1511-04","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151105","151105","Network/Communications/Infrastructure Manager","M151117","151117","Network Manager","retained","combined_title_split","medium","Current title/duties combine network management and ICT infrastructure management; do not include unrelated public-relations communications roles.","true","1","2","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1511-05","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151105","151105","Network/Communications/Infrastructure Manager","M151123","151123","Information Technology Infrastructure Manager","retained","combined_title_split","medium","Current title/duties combine network management and ICT infrastructure management; do not include unrelated public-relations communications roles.","true","1","2","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1511-05","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151106","151106","Audio Visual Manager","M151119","151119","Audio Visual Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2654.1.7","technical director","https://emasco.mohr.gov.my/masco/1511-06","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151107","151107","Information Technology Project Manager","M151122","151122","Information Technology Project Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.7","ICT project manager","https://emasco.mohr.gov.my/masco/1511-07","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151108","151108","Information Technology Programme Manager","M151124","151124","Information Technology Programme Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.7","ICT project manager","https://emasco.mohr.gov.my/masco/1511-08","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151109","151109","Bioinformatics Manager","M151127","151127","Bioinformatics Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2131.3","bioinformatics scientist","https://emasco.mohr.gov.my/masco/1511-09","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151110","151110","Creative Multimedia Manager","M151128","151128","Creative Multimedia Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2431.7","creative director","https://emasco.mohr.gov.my/masco/1511-10","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151111","151111","Network Operations Manager","M151130","151130","Network Operations Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1511-11","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151112","151112","Information Technology Business Development Manager","M151132","151132","Information Technology Business Development Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2434.2","ICT business development manager","https://emasco.mohr.gov.my/masco/1511-12","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151113","151113","Software and Applications Manager","M151112","151112","Application Development Manager","retained","combined_title_split","medium","Current role explicitly manages both application and software development; both are distinct printed 2020 occupations.","true","1","2","1330.5.1","software manager","https://emasco.mohr.gov.my/masco/1511-13","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M151113","151113","Software and Applications Manager","M151135","151135","Software Development Manager","retained","combined_title_split","medium","Current role explicitly manages both application and software development; both are distinct printed 2020 occupations.","true","1","2","1330.5.1","software manager","https://emasco.mohr.gov.my/masco/1511-13","324","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324","","","false"
"M151118","151118","Data Manager","M151113","151113","Data Operations Manager","retained","reviewed_functional_equivalent","medium","Current description explicitly oversees data systems and data operations; use the 2020 Data Operations Manager counterpart, with broader governance scope retained as a source caveat.","true","1","1","1330.1","chief data officer","https://emasco.mohr.gov.my/masco/1511-18","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","","","false"
"M161201","161201","Phytonutrients Manager","M161210","161210","Phytonutrients Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1223.2","research and development manager","https://emasco.mohr.gov.my/masco/1612-01","324","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324","","","false"
"M161202","161202","Health Educator","M161211","161211","Health Educator","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","3253.1","community health worker","https://emasco.mohr.gov.my/masco/1612-02","324","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324","","","false"
"M161203","161203","Chief Nurse","M161202","161202","Director, Nursing","retained","reviewed_functional_equivalent","medium","Head-of-nursing leadership, nursing policy, staffing and hospital nursing operations correspond to Director, Nursing.","true","1","1","2221.2","nurse responsible for general care","https://emasco.mohr.gov.my/masco/1612-03","324","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324","","","false"
"M211101","211101","Physicist","M211101","211101","Physicist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2111.3","physicist","https://emasco.mohr.gov.my/masco/2111-01","326","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=326","","","false"
"M211102","211102","Astronaut","M211129","211129","Astronaut","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","3153.3","astronaut","https://emasco.mohr.gov.my/masco/2111-02","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","","","false"
"M211201","211201","Meteorologist","M211202","211202","Meteorologist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2112.1","meteorologist","https://emasco.mohr.gov.my/masco/2112-01","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","","","false"
"M211202","211202","Meteorologist (Environmental)","M211210","211210","Meteorologist, Environmental","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2112.1","meteorologist","https://emasco.mohr.gov.my/masco/2112-02","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","","","false"
"M211203","211203","Meteorologist (Numerical Weather Prediction Modelling)","M211211","211211","Meteorologist, Numerical Weather Prediction Modeling","retained","title_variant","high","Same occupational identity after word-order, singular/plural, spelling, acronym-position or explicit competent-person title-wrapper variation. Preserve the official 2020 printed title.","true","1","1","2112.1","meteorologist","https://emasco.mohr.gov.my/masco/2112-03","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","","","false"
"M211204","211204","Meteorological Officer Grade C9","M211201","211201","Meteorological Officer Grade C41","retained","grade_reversion","high","Same named occupational service; use the MASCO 2020 title and its printed SSM grade. JPA SSPA Annex B supports the grade-family transition. Only grades listed in the 2020 index are retained.","true","1","1","2112.1","meteorologist","https://emasco.mohr.gov.my/masco/2112-04","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","https://docs.jpa.gov.my/docs/sspa/SSPA_LAMPIRAN_B.pdf","","false"
"M211301","211301","Chemist","M211302","211302","Chemist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2113.1","chemist","https://emasco.mohr.gov.my/masco/2113-01","327","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327","","","false"
"M211401","211401","Geologist","M211402","211402","Geologist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2114.1","geologist","https://emasco.mohr.gov.my/masco/2114-01","328","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328","","","false"
"M211402","211402","Hydrologist","M211424","211424","Hydrologist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2114.1.5","hydrologist","https://emasco.mohr.gov.my/masco/2114-02","328","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328","","","false"
"M211403","211403","Geoscientist","M211432","211432","Geoscientist","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2114.1","geologist","https://emasco.mohr.gov.my/masco/2114-03","328","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328","","","false"
"M212101","212101","Mathematician","M212102","212102","Mathematician","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2120.5","mathematician","https://emasco.mohr.gov.my/masco/2121-01","329","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329","","","false"
