role_id,masco_task_id,task,remote_task_pre_rating,remote_rule_evidence,ai_task_pre_rating,ai_rule_evidence,rating_method,rater_1,rater_1_rating,rater_2,rater_2_rating,reconciled_rating,review_status
R02,MASCO_2524_02,extracting data from data sources.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_03,proposing new uses for existing data sources and structures.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_04,integrating multiple data sets to build large and complex data sets.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_05,"building software to scrub, combine and manage data.",remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_06,"applying data mining techniques to investigate leads, identify patterns and regularities in data.",remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_07,implementing automated processes to produce scale models.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_08,"developing complex code, scripts and data pipelines to process structured and unstructured data.",remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_09,testing data system configurations to increase efficiency.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_10,"enabling searching, data visualisation, and advanced analytics functionality.",remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_11,monitoring data system performance.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_12,facilitating data cleansing and enrichment; and.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_13,performing data validation and quality control checks.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_01,"advising on and performing personnel functions relating to recruitment, placement, training, staff performance, promotion, compensation and employee-management relations.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_02,maintaining personnel records and associated human resource information systems.,remote_capable,information/writing/design work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_03,"studying and analysing jobs performed in an establishment, conducting interviews with workers, supervisors and the management, and writing detailed post, job and occupation descriptions from data obtained.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,writing/editing/drafting; data/calculation/routine processing; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_04,preparing occupational information booklets/pamphlets and occupational classification systems.,mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_05,"advising on aspects of personnel administration, manpower research and planning, training or occupational information and vocational guidance.",remote_capable,information/writing/design work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_06,"studying and advising individuals on employment opportunities, career choices and further education or training.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_07,"providing guidance to students, parents and teachers in a wide range of matters, including students’ personal problems, learning difficulties and special needs.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_08,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R03,MASCO_2423_09,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_01,"planning, implementing and monitoring various business activities.",remote_capable,information/writing/design work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_02,reporting on customer feedback and requirements to manufacturers.,remote_capable,information/writing/design work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_03,developing and devising creative ideas for an advertising campaign for a brand or business.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_04,"advising clients on how, when and where to spend their advertising budgets.",remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_05,"providing direct, creative and strategic communication with the target audience, e.g. direct mail and direct response radio advertising.",remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_06,interacting with the media.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_07,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R04,MASCO_2431_08,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_01,"studying the relationships between ancient parent languages and modern language groups, tracing the origin and evolution of words, grammar and language forms and presenting findings.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_02,"advising on or preparing language classification systems, grammars, dictionaries and similar matters.",mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_03,"translating from one language into another and ensuring that the correct meaning of the original is retained, that legal, technical or scientific texts are correctly rendered and that the phraseology, terminology, spirit and style are conveyed as far as possible.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_04,"interpreting from one language into another, in particular at conferences, meetings and similar occasions, and ensuring that the correct meaning and, as far as possible, the spirit of the original are transmitted.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_05,"providing simultaneous interpreting at meetings of the Senate and House of Representatives, and editing the questions of the Senate.",mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,writing/editing/drafting,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_06,specialising in at least two or more languages.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_07,"responsible for managing and implementing projects, programs and development activities and the development of the Malay language as the national language and official language.",mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_08,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R05,MASCO_2833_09,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_01,"creating world class, user centered designs through considerations of user research, business requirements, customer feedback and usability study findings.",remote_capable,information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_02,"developing conceptual diagrams, wireframes, visual mockups, prototypes and visual design of web and mobile applications.",remote_capable,information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_03,developing and maintaining detailed user interface specifications.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_04,"presenting design works to user experience, product, business owners for review and feedback.",remote_capable,information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_05,"creating and implementing usability studies, personality, navigational structures, and affinity diagrams.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_06,"providing usability recommendations based on industry best practices, analytics, and user behavior.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_07,collaborating proactively with the other members of the team including from different expertise to solve problems.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_08,optimising user experience based on the compilation of data analytics of user activities.,remote_capable,computer/software/data work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_09,"performing related tasks through digital content creation tools, visualization software, tools and technology; and.",remote_capable,computer/software/data work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R06,MASCO_2543_10,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_01,"checking figures, notification and documents for correct information, mathematical accuracy and proper codes.",remote_capable,information/writing/design work,ai_exposable,writing/editing/drafting; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_02,"operating computers programmed with accounting software to record, store, and analyse information.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,data/calculation/routine processing; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_03,"classifying, recording and summarising numerical and financial data to compile and keep financial records using journals and ledgers or computers.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,writing/editing/drafting; data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_04,"calculating, preparing and issuing bills, invoices, account statements and other financial statements according to established procedures.",mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_05,"compiling statistical, financial, accounting or audit reports and tables pertaining to such matters as cash receipts, expenditures, payable and receivable accounts, and profits and losses.",remote_capable,information/writing/design work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_06,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R07,MASCO_4311_07,"supervising, scheduling and monitoring the tasks of other workers.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_01,"taking charge of incoming calls and messages from clients either responding to queries, handling calls about services or sorting complaints.",remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_02,"issuing invoices or handling payments, if necessary.",mixed_or_unclear,No decisive published-rule keyword; human review required.,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_03,"sending letters, information sheets and other documents to clients.",remote_capable,information/writing/design work; phone/email/advisory work,ai_exposable,writing/editing/drafting,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_04,advising clients of additional products or services.,remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_05,dealing with telephone requests for information or appointments.,remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_06,directing clients or patients to the appropriate location or person.,remote_capable,phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_07,taking any form of complaint or feedback from customers which is related to organisational operation and services.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_08,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R08,MASCO_4222_09,"supervising, scheduling and monitoring the tasks of other workers.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_01,"checking, formatting and transcribing correspondence, minutes and reports from dictation, electronic documents or written drafts to conform to office standards using the typewriter or other word processing equipment.",on_site_or_physical,operate or handle physical equipment,ai_exposable,writing/editing/drafting; data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_02,using various computer software packages including spreadsheets to provide administrative support.,remote_capable,computer/software/data work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_03,dealing with incoming or outgoing mail.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_04,"checking, recording and distributing mail, correspondence and documents.",remote_capable,information/writing/design work,ai_exposable,writing/editing/drafting; data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_05,screening requests for meetings or appointments and helping to organise meetings.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_06,screening and recording leave and other staff members’ entitlements.,remote_capable,information/writing/design work,ai_exposable,data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_07,organising and supervising filing systems.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_08,dealing with routine correspondence.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_09,"taking shorthand, typing and managing file movement.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_10,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R09,MASCO_4121_11,"supervising, scheduling and monitoring the tasks of other workers.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_01,"delivering lectures and conducting tutorials, research and releasing publications.",remote_capable,information/writing/design work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_02,"giving lectures, supervising thesis projects, managing practical work/tutorials and preparing lecture notes/laboratory manuals.",mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_03,"conducting examination matters, monitoring the practical training of students, assisting in reviewing / preparing the curriculum / syllabus, engaging in research work and undertaking student development work.",remote_capable,information/writing/design work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_04,"providing consultancy services to students and outsiders, supervising projects, theses and student papers, conducting research, publishing journals, articles, books and other forms of related publications, services, performing community and professional services, helping students develop their potential and character, and managing academic-related activities.",remote_capable,information/writing/design work; phone/email/advisory work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_05,designing and modifying the curricula and preparing courses of study in accordance with the requirements.,remote_capable,information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_06,encouraging discussion and independent thinking among students.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_07,"conducting research and developing concepts, theories and operational methods for application in the industry and other fields.",remote_capable,information/writing/design work,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_08,assisting in co-curricular activities.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_09,performing related tasks; and.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R10,MASCO_2311_10,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
