role_id,skill_id,skill_name,skill_type,importance,source,source_occupation_code,source_element_id,importance_method,curation_note,raw_source_value,normalisation_or_rating_rule,one_line_justification,source_url,review_status
R01,DIGCOMP_3_4,Programming,digital,95,DigComp 2.2,,3.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate and test code; use AI coding tools with review.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate and test code; use AI coding tools with review.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R01,DIGCOMP_5_1,Solving technical problems,digital,90,DigComp 2.2,,5.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Diagnose technical faults.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Diagnose technical faults.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R04,DIGCOMP_3_1,Developing digital content,digital,95,DigComp 2.2,,3.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Create digital campaign content.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Create digital campaign content.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R04,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,90,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate analytics and AI outputs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate analytics and AI outputs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R04,DIGCOMP_2_2,Sharing through digital technologies,digital,85,DigComp 2.2,,2.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Publish and share campaign material.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Publish and share campaign material.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R04,DIGCOMP_3_3,Copyright and licences,digital,80,DigComp 2.2,,3.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Apply copyright and licensing rules.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Apply copyright and licensing rules.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R04,DIGCOMP_5_3,Creatively using digital technologies,digital,85,DigComp 2.2,,5.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Experiment with digital and generative tools.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Experiment with digital and generative tools.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R05,DIGCOMP_3_2,Integrating and re-elaborating digital content,digital,90,DigComp 2.2,,3.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Edit and integrate translated digital content.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Edit and integrate translated digital content.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R05,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,90,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate machine-translation output.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate machine-translation output.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R05,DIGCOMP_3_3,Copyright and licences,digital,75,DigComp 2.2,,3.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Respect source-content licensing.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Respect source-content licensing.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R05,DIGCOMP_2_5,Netiquette,digital,75,DigComp 2.2,,2.5,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Adapt language to digital context.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Adapt language to digital context.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R05,DIGCOMP_4_2,Protecting personal data and privacy,digital,80,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect client-confidential material.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect client-confidential material.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R06,DIGCOMP_3_1,Developing digital content,digital,95,DigComp 2.2,,3.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Develop digital visual content.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Develop digital visual content.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R06,DIGCOMP_3_2,Integrating and re-elaborating digital content,digital,95,DigComp 2.2,,3.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Rework content with design and generative tools.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Rework content with design and generative tools.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R06,DIGCOMP_3_3,Copyright and licences,digital,90,DigComp 2.2,,3.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Apply copyright and licensing.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Apply copyright and licensing.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R06,DIGCOMP_5_3,Creatively using digital technologies,digital,90,DigComp 2.2,,5.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Use digital tools creatively.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Use digital tools creatively.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R06,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,75,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-generated visual outputs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-generated visual outputs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R07,DIGCOMP_1_3,"Managing data, information and digital content",digital,95,DigComp 2.2,,1.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage financial records.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage financial records.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R07,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,90,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Check automated calculations and AI outputs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Check automated calculations and AI outputs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R07,DIGCOMP_3_4,Programming,digital,80,DigComp 2.2,,3.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate spreadsheet and accounting workflows.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate spreadsheet and accounting workflows.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R07,DIGCOMP_4_2,Protecting personal data and privacy,digital,90,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect financial and personal data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect financial and personal data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R07,DIGCOMP_5_1,Solving technical problems,digital,75,DigComp 2.2,,5.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Resolve software and reconciliation issues.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Resolve software and reconciliation issues.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R08,DIGCOMP_2_1,Interacting through digital technologies,digital,95,DigComp 2.2,,2.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Serve customers through digital channels.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Serve customers through digital channels.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R08,DIGCOMP_2_5,Netiquette,digital,90,DigComp 2.2,,2.5,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Communicate appropriately online.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Communicate appropriately online.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R08,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,80,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Verify AI-suggested answers.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Verify AI-suggested answers.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R08,DIGCOMP_4_2,Protecting personal data and privacy,digital,85,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect customer data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect customer data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R08,DIGCOMP_5_1,Solving technical problems,digital,70,DigComp 2.2,,5.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Troubleshoot common digital service issues.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Troubleshoot common digital service issues.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R09,DIGCOMP_1_3,"Managing data, information and digital content",digital,95,DigComp 2.2,,1.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Maintain digital files and records.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Maintain digital files and records.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R09,DIGCOMP_2_4,Collaborating through digital technologies,digital,90,DigComp 2.2,,2.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Coordinate calendars and documents.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Coordinate calendars and documents.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R09,DIGCOMP_4_2,Protecting personal data and privacy,digital,90,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect confidential information.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect confidential information.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R09,DIGCOMP_3_2,Integrating and re-elaborating digital content,digital,80,DigComp 2.2,,3.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Draft and revise digital documents with AI assistance.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Draft and revise digital documents with AI assistance.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R09,DIGCOMP_5_2,Identifying needs and technological responses,digital,70,DigComp 2.2,,5.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Choose productivity tools for administrative needs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Choose productivity tools for administrative needs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R10,DIGCOMP_2_1,Interacting through digital technologies,digital,90,DigComp 2.2,,2.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Teach through digital channels.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Teach through digital channels.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R10,DIGCOMP_3_1,Developing digital content,digital,90,DigComp 2.2,,3.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Develop learning content.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Develop learning content.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R10,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,85,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate online and AI-generated learning resources.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate online and AI-generated learning resources.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R10,DIGCOMP_2_4,Collaborating through digital technologies,digital,80,DigComp 2.2,,2.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Collaborate with learners and families.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Collaborate with learners and families.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R10,DIGCOMP_4_3,Protecting health and well-being,digital,75,DigComp 2.2,,4.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Support safe and healthy digital learning.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Support safe and healthy digital learning.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
