employer_id,name,report_year,report_url,page_or_section,women_workforce_pct,women_management_pct,women_board_pct,maternity_days,paternity_days,flexible_remote_disclosed,childcare_nursing_phased_return,evidence_note,recognition_note,extraction_status
5014,Malaysia Airports Holdings Berhad,2023,https://corporate.malaysiaairports.com.my/en/about-us/reports/annual-report,Annual Report 2023 and report archive,,,,,,,,The official report archive was reviewed using the latest annual report listed there; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
5031,TIME dotCom Berhad,2025,https://www.time.com.my/wp-content/uploads/2026/04/Time-Annual-Report-2025.pdf,"p. 55, Sustainability Statement / Talent Recruitment",,,,,,,,The report discloses 41% female representation among FY2025 new hires. It is not entered as workforce representation because the denominators differ.,,source_confirmed_second_review_approved
5168,Hartalega Holdings Berhad,2025,https://www.insage.com.my/IR/cmn/trps02/ArTopGrid.aspx?Symbol=5168,Integrated Annual Report 2025; sustainability and labour-practice sections,,,,,,,,The official investor-relations report listing and FY2025 integrated report were reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
5183,PETRONAS Chemicals Group Berhad,2024,https://www.petronas.com/pcg/sites/default/files/uploads/content/pdf/%5BINTERACTIVE%20PDF%5D%20PCG%20SR2024.pdf,Talent Management & Well-being,,,,,,True,True,"Flexible hours/compressed week, childcare centre, nursing rooms and special leave disclosed.",,source_confirmed_second_review_approved
5211,Sunway Berhad,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,60,64,40,,,True,True,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",TalentCorp LAWA 2025 Best Organisation - Public Listed Company,source_confirmed_second_review_approved
5225,IHH Healthcare Berhad,2023,https://www.ihhhealthcare.com/docs/default-source/ihh-documents/sustainability/sustainability_report_2023.pdf,Parental leave table,,,,,,,False,Parental leave return and retention disclosed by gender; no policy duration scored.,,source_confirmed_second_review_approved
5249,IOI Properties Group Berhad,2025,https://files.ioiproperties.com.my/dsites/s3fs-public/annual-report/file/%5BINTERACTIVE%20PDF%5D%20IOIPG%20IAR2025_06102025_0.pdf,Human Capital; Creating Value for Our Employees,41,41,,,,,,FY2025 human-capital highlights report women as 41% of the total workforce and 41% of management positions.,,source_confirmed_second_review_approved
5288,Sime Darby Property Berhad,2025,https://www.simedarbyproperty.com/sites/default/files/2026-04/SDP%20SR2025%20%28Mobile%29.pdf,150,,,,,,,False,Three-year parental leave return and retention data includes 2024 comparators.,,source_confirmed_second_review_approved
5292,UWC Berhad,2025,https://www.uwcberhad.com.my/wp-content/uploads/2026/01/Annual-Report-2025.pdf,"p. 55, Social / Compensation and Benefits",,,,,,,,"UWC discloses maternity and paternity leave among permanent full-time employee benefits, but does not state exact durations in the reviewed section.",,source_confirmed_second_review_approved
5296,MR D.I.Y. Group (M) Berhad,2025,https://corporate.mrdiy.com/misc/sustainability/MRDIY-Sustainability_Report_2025.pdf,Our People & Communities / Benefits and Entitlements,,,,98,7,,,The FY2025 report discloses 98 days of maternity leave and seven days of paternity leave for full-time employees.,,source_confirmed_second_review_approved
5326,99 Speed Mart Retail Holdings Berhad,2025,https://99speedmart.com.my/wp-content/uploads/2026/04/99SMART-Integrated-Annual-Report-2025.pdf,"p. 108, Measuring Our Progress / Diversity, Equity and Inclusion",48.04,,,,,,,The FY2025 sustainability performance table reports 48.04% female representation in the workforce.,,source_confirmed_second_review_approved
5347,Tenaga Nasional Berhad,2024,https://www.tnb.com.my/sustainability/our-people,web page,,,,98,7,True,False,Company-wide flexible working arrangement under TNB Ways of Working; statutory leave disclosed.,,source_confirmed_second_review_approved
5398,Gamuda Berhad,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,155,35,30,57.1,,,,False,"Women were 35% of workforce, at least 30% by employee category, and four of seven board members.",,source_confirmed_second_review_approved
5681,PETRONAS Dagangan Berhad,2025,https://www.mymesra.com.my/integrated-report-2025/,Human capital highlights,,39,37.5,,,,,The 2025 integrated report reports 39% female representation on the Leadership Team and 37.5% female representation on the Board.,,source_confirmed_second_review_approved
5819,Hong Leong Bank Berhad,2024,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/About-Us/Investor-Relations/agm/2024/annual-report/hlb-annual-report-2024.pdf,117,,,,,,,False,Leave benefits and gender pay ratios disclosed; no confirmed flexible-work or leave-duration signal.,,source_confirmed_second_review_approved
5878,KPJ Healthcare Berhad,2024,https://kpj.listedcompany.com/newsroom/KPJHB_SR_2024.pdf,Fostering Our People / DEI and parental leave,78.8,,,,,True,,"Women were 13,676 of 17,352 employees (78.8%, derived from disclosed counts); KPJ also discloses flexible work arrangements and parental-leave return and retention metrics.",,source_confirmed_second_review_approved
6012,Maxis Berhad,2025,https://maxis.listedcompany.com/newsroom/Maxis_Integrated_Annual_Report_2025.pdf,"p. 67, Social / employee gender breakdown",43.0,,,,,,,"Women represented 1,304 of 3,033 permanent and contract employees in 2025; 43.0% is derived from the report's disclosed counts.",,source_confirmed_second_review_approved
6033,PETRONAS Gas Berhad,2025,https://www.petronas.com/pgb/integrated-report-2025/assets/pdf/PGB%20Sustainability%20Report%202025.pdf,"p. 113, Talent Management / Parental Leave",,,,,,,,"PGB reports 120 employees taking parental leave, 119 returning, a 99% return rate and 100% retention; these metrics are retained in the note because the D7 schema has no return-rate field.",,source_confirmed_second_review_approved
6599,AEON Co. (M) Bhd,2025,https://aeongroupmalaysia.com/iar2025/assets/pdf/Download/AEON_IAR2025.pdf,"Integrated Annual Report 2025, sustainability disclosures",,,,,,,,The official integrated annual report was reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
6742,YTL Power International Berhad,2025,https://www.ytl.com/wp-content/uploads/ytles/sites/6/files/miscellaneous/YTLPI_ESG2025.pdf,About This Report; social performance disclosures,,,,,,,,The official FY2025 ESG report was reviewed. No scoreable D7 percentage or policy-duration fact was extracted in this pass.,,source_confirmed_second_review_approved
6888,Axiata Group Berhad,2024,https://sustainability.axiata.com/wp-content/uploads/2025/05/Axiata-Integrated-Annual-Report-2024-Sustainability-At-Core.pdf,Advancing Our People & Communities,29,30,,,,True,True,Flex@Axiata and maternity/re-entry support; women 29% workforce and 30% senior management.,,source_confirmed_second_review_approved
6947,CelcomDigi Berhad,2025,https://corporate.celcomdigi.com/annualreport,CelcomDigi Integrated Annual Report 2025,,,,,,,,The official 2025 integrated annual report was located and reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
7084,QL Resources Berhad,2024,https://ql.com.my/wp-content/uploads/2024/07/QL-IAR2024_Key-Performance-Indicator.pdf,18,,,,,,,False,Parental leave return and retention rates disclosed by gender.,,source_confirmed_second_review_approved
7106,Supermax Corporation Berhad,2025,https://www.supermax.com.my/media/ieqjk1as/annual-report-2025.pdf,"p. 53, Workforce Composition and Diversity; Talent Management",20.2,,,,,True,,"Women were 284 of 1,409 employees (20.2%, derived from disclosed counts); Supermax also states that it offers flexible working arrangements and family-friendly policies.",,source_confirmed_second_review_approved
7113,Top Glove Corporation Bhd,2025,https://tgapp.topglove.com/IAR/2025/Sustainability_Report_2025/TG_Sustainability_Report_2025.pdf,Social / Work-life Integration for Employees,,61,,,,True,True,"Top Glove reports 61% female leadership in managerial positions, flexible hours and WFH support for parents/caregivers, and nursing-room facilities.",,source_confirmed_second_review_approved
7153,Kossan Rubber Industries Bhd,2025,https://kossan.com.my/sustainability/,Sustainability Report 2025,,,,,,,,The official FY2025 sustainability report was located and reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
7277,Dialog Group Berhad,2025,https://sr.dialogasia.com/,FY2025 ESG Highlights; Advancing People,,,,,,,,The interactive sustainability report was reviewed and includes women-in-management and employee-assistance disclosures; no scoreable percentage or policy duration was extracted in this pass.,,source_confirmed_second_review_approved
8869,Press Metal Aluminium Holdings Berhad,2024,https://www.pressmetal.com/pdf/PMetal-IAR2024.pdf,208,,,,,,,False,Parental leave take-up and return/retention rates disclosed by gender.,TalentCorp LAWA 2025 CHRO Champion,source_confirmed_second_review_approved
