evidence_id,employer_id,employer_name,pillar,fact_field,extracted_value,unit,source_year,source_url,page_or_section,evidence_paraphrase,verification_status,reviewer,review_date
EV0016,1155,Malayan Banking Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,"p. 120, Empowering Our People","Maybank discloses 98 days of maternity leave with an extension option, flexible-work arrangements, childcare centres/benefits and equipped nursing rooms.",verified,Charles Yi,2026-08-27
EV0017,1163,Allianz Malaysia Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,73,Ways of Working strategy; 59% of employees identified as hybrid workers.,verified,Charles Yi,2026-08-27
EV0018,1163,Allianz Malaysia Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,73,Ways of Working strategy; 59% of employees identified as hybrid workers.,verified,Charles Yi,2026-08-27
EV0019,1163,Allianz Malaysia Berhad,recognition,recognition_note,TalentCorp LAWA 2025 Women at Work & Leadership winner,text,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,73,TalentCorp LAWA 2025 Women at Work & Leadership winner,verified,Charles Yi,2026-08-27
EV0020,1295,Public Bank Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2023,https://www.publicbankgroup.com/media/lfzbm2ru/2023-sustainability-report.pdf,248,Parental leave metrics and flexible working/extended maternity benefits disclosed; exact duration not scored.,verified,Charles Yi,2026-08-27
EV0021,1295,Public Bank Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2023,https://www.publicbankgroup.com/media/lfzbm2ru/2023-sustainability-report.pdf,248,Parental leave metrics and flexible working/extended maternity benefits disclosed; exact duration not scored.,verified,Charles Yi,2026-08-27
EV0022,1818,Bursa Malaysia Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://bursa.listedcompany.com/iar_2024.html,Sustainability Report 2024,"Official report archive; family medical benefits are evidenced in the prior sustainability report, but current policy duration not scored.",verified,Charles Yi,2026-08-27
EV0023,3182,Genting Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.genting.com/sustainability-reports,Sustainability Report 2025; Enhancing Workplace Practices,Genting's workplace-practice disclosure states that flexible work arrangements are implemented where appropriate to manage workload and excessive-hours risk.,verified,Charles Yi,2026-08-27
EV0024,3689,Fraser & Neave Holdings Bhd,gender_equity,women_workforce_pct,28,%,2025,https://www.fn.com.my/investors/ar2025/,"FY2025 ESG Scorecard; Employee Safety, Health & Well-being","F&NHB reports 28% women in the workforce and 43% in managerial positions, up to two work-from-home days for eligible employees, lactation facilities and extended maternity support.",verified,Charles Yi,2026-08-27
EV0025,3689,Fraser & Neave Holdings Bhd,gender_equity,women_management_pct,43,%,2025,https://www.fn.com.my/investors/ar2025/,"FY2025 ESG Scorecard; Employee Safety, Health & Well-being","F&NHB reports 28% women in the workforce and 43% in managerial positions, up to two work-from-home days for eligible employees, lactation facilities and extended maternity support.",verified,Charles Yi,2026-08-27
EV0026,3689,Fraser & Neave Holdings Bhd,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.fn.com.my/investors/ar2025/,"FY2025 ESG Scorecard; Employee Safety, Health & Well-being","F&NHB reports 28% women in the workforce and 43% in managerial positions, up to two work-from-home days for eligible employees, lactation facilities and extended maternity support.",verified,Charles Yi,2026-08-27
EV0027,3689,Fraser & Neave Holdings Bhd,policy_flex,childcare_nursing_phased_return,True,boolean,2025,https://www.fn.com.my/investors/ar2025/,"FY2025 ESG Scorecard; Employee Safety, Health & Well-being","F&NHB reports 28% women in the workforce and 43% in managerial positions, up to two work-from-home days for eligible employees, lactation facilities and extended maternity support.",verified,Charles Yi,2026-08-27
EV0028,3816,MISC Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.miscgroup.com/awcontent/Web/Documents/SustainabilityPerformanceData/Talent-Excellence-Performance-Data-SR24_9-Jul-25.pdf,222,"Parental leave take-up, return and 12-month retention disclosed by gender.",verified,Charles Yi,2026-08-27
EV0029,4065,PPB Group Berhad,gender_equity,women_workforce_pct,29.3,%,2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,"pp. 20-21, Diversity, equity and inclusion / work-life integration","Women were 1,891 of 6,455 employees (29.3%, derived from disclosed counts), women held 42% of management roles, and flexible work arrangements were available where work situations permit.",verified,Charles Yi,2026-08-27
EV0030,4065,PPB Group Berhad,gender_equity,women_management_pct,42,%,2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,"pp. 20-21, Diversity, equity and inclusion / work-life integration","Women were 1,891 of 6,455 employees (29.3%, derived from disclosed counts), women held 42% of management roles, and flexible work arrangements were available where work situations permit.",verified,Charles Yi,2026-08-27
EV0031,4065,PPB Group Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,"pp. 20-21, Diversity, equity and inclusion / work-life integration","Women were 1,891 of 6,455 employees (29.3%, derived from disclosed counts), women held 42% of management roles, and flexible work arrangements were available where work situations permit.",verified,Charles Yi,2026-08-27
EV0032,4197,Sime Darby Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.simedarby.com/sites/default/files/annualreport-pdf/simedarby_berhad_ar_2024_interactive_4.24pm.pdf,People section,"Report describes women-focused mentorship, coaching and career-development emphasis; policy details not confirmed.",verified,Charles Yi,2026-08-27
EV0033,4677,YTL Corporation Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,"p. 76, Employee Benefits and Welfare / Parental Benefits","The report states that certain business units offer hybrid, remote or flexible hours and that a Mother's Room provides nursing cubicles and changing facilities.",verified,Charles Yi,2026-08-27
EV0034,4677,YTL Corporation Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2025,https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,"p. 76, Employee Benefits and Welfare / Parental Benefits","The report states that certain business units offer hybrid, remote or flexible hours and that a Mother's Room provides nursing cubicles and changing facilities.",verified,Charles Yi,2026-08-27
EV0035,4707,Nestle (Malaysia) Berhad,gender_equity,women_management_pct,45,%,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",verified,Charles Yi,2026-08-27
EV0036,4707,Nestle (Malaysia) Berhad,policy_flex,maternity_days,126,days,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",verified,Charles Yi,2026-08-27
EV0037,4707,Nestle (Malaysia) Berhad,policy_flex,paternity_days,28,days,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",verified,Charles Yi,2026-08-27
EV0038,4707,Nestle (Malaysia) Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",verified,Charles Yi,2026-08-27
EV0039,4707,Nestle (Malaysia) Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",verified,Charles Yi,2026-08-27
EV0040,4863,Telekom Malaysia Berhad,gender_equity,women_management_pct,35,%,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",verified,Charles Yi,2026-08-27
EV0041,4863,Telekom Malaysia Berhad,policy_flex,maternity_days,98,days,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",verified,Charles Yi,2026-08-27
EV0042,4863,Telekom Malaysia Berhad,policy_flex,paternity_days,7,days,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",verified,Charles Yi,2026-08-27
EV0043,4863,Telekom Malaysia Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",verified,Charles Yi,2026-08-27
EV0044,4863,Telekom Malaysia Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",verified,Charles Yi,2026-08-27
EV0045,5183,PETRONAS Chemicals Group Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.petronas.com/pcg/sites/default/files/uploads/content/pdf/%5BINTERACTIVE%20PDF%5D%20PCG%20SR2024.pdf,Talent Management & Well-being,"Flexible hours/compressed week, childcare centre, nursing rooms and special leave disclosed.",verified,Charles Yi,2026-08-27
EV0046,5183,PETRONAS Chemicals Group Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://www.petronas.com/pcg/sites/default/files/uploads/content/pdf/%5BINTERACTIVE%20PDF%5D%20PCG%20SR2024.pdf,Talent Management & Well-being,"Flexible hours/compressed week, childcare centre, nursing rooms and special leave disclosed.",verified,Charles Yi,2026-08-27
EV0047,5211,Sunway Berhad,gender_equity,women_workforce_pct,60,%,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",verified,Charles Yi,2026-08-27
EV0048,5211,Sunway Berhad,gender_equity,women_management_pct,64,%,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",verified,Charles Yi,2026-08-27
EV0049,5211,Sunway Berhad,gender_equity,women_board_pct,40,%,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",verified,Charles Yi,2026-08-27
EV0050,5211,Sunway Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",verified,Charles Yi,2026-08-27
EV0051,5211,Sunway Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,"Flexible working, childcare subsidy and centre, mothers' rooms; comparative table reports 60% women workforce, 64% women in management, 40% board in 2024.",verified,Charles Yi,2026-08-27
EV0052,5211,Sunway Berhad,recognition,recognition_note,TalentCorp LAWA 2025 Best Organisation - Public Listed Company,text,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,Human Capital section,TalentCorp LAWA 2025 Best Organisation - Public Listed Company,verified,Charles Yi,2026-08-27
EV0053,5225,IHH Healthcare Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2023,https://www.ihhhealthcare.com/docs/default-source/ihh-documents/sustainability/sustainability_report_2023.pdf,Parental leave table,Parental leave return and retention disclosed by gender; no policy duration scored.,verified,Charles Yi,2026-08-27
EV0054,5249,IOI Properties Group Berhad,gender_equity,women_workforce_pct,41,%,2025,https://files.ioiproperties.com.my/dsites/s3fs-public/annual-report/file/%5BINTERACTIVE%20PDF%5D%20IOIPG%20IAR2025_06102025_0.pdf,Human Capital; Creating Value for Our Employees,FY2025 human-capital highlights report women as 41% of the total workforce and 41% of management positions.,verified,Charles Yi,2026-08-27
EV0055,5249,IOI Properties Group Berhad,gender_equity,women_management_pct,41,%,2025,https://files.ioiproperties.com.my/dsites/s3fs-public/annual-report/file/%5BINTERACTIVE%20PDF%5D%20IOIPG%20IAR2025_06102025_0.pdf,Human Capital; Creating Value for Our Employees,FY2025 human-capital highlights report women as 41% of the total workforce and 41% of management positions.,verified,Charles Yi,2026-08-27
EV0056,5288,Sime Darby Property Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2025,https://www.simedarbyproperty.com/sites/default/files/2026-04/SDP%20SR2025%20%28Mobile%29.pdf,150,Three-year parental leave return and retention data includes 2024 comparators.,verified,Charles Yi,2026-08-27
EV0057,5296,MR D.I.Y. Group (M) Berhad,policy_flex,maternity_days,98,days,2025,https://corporate.mrdiy.com/misc/sustainability/MRDIY-Sustainability_Report_2025.pdf,Our People & Communities / Benefits and Entitlements,The FY2025 report discloses 98 days of maternity leave and seven days of paternity leave for full-time employees.,verified,Charles Yi,2026-08-27
EV0058,5296,MR D.I.Y. Group (M) Berhad,policy_flex,paternity_days,7,days,2025,https://corporate.mrdiy.com/misc/sustainability/MRDIY-Sustainability_Report_2025.pdf,Our People & Communities / Benefits and Entitlements,The FY2025 report discloses 98 days of maternity leave and seven days of paternity leave for full-time employees.,verified,Charles Yi,2026-08-27
EV0059,5326,99 Speed Mart Retail Holdings Berhad,gender_equity,women_workforce_pct,48.04,%,2025,https://99speedmart.com.my/wp-content/uploads/2026/04/99SMART-Integrated-Annual-Report-2025.pdf,"p. 108, Measuring Our Progress / Diversity, Equity and Inclusion",The FY2025 sustainability performance table reports 48.04% female representation in the workforce.,verified,Charles Yi,2026-08-27
EV0060,5347,Tenaga Nasional Berhad,policy_flex,maternity_days,98,days,2024,https://www.tnb.com.my/sustainability/our-people,web page,Company-wide flexible working arrangement under TNB Ways of Working; statutory leave disclosed.,verified,Charles Yi,2026-08-27
EV0061,5347,Tenaga Nasional Berhad,policy_flex,paternity_days,7,days,2024,https://www.tnb.com.my/sustainability/our-people,web page,Company-wide flexible working arrangement under TNB Ways of Working; statutory leave disclosed.,verified,Charles Yi,2026-08-27
EV0062,5347,Tenaga Nasional Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.tnb.com.my/sustainability/our-people,web page,Company-wide flexible working arrangement under TNB Ways of Working; statutory leave disclosed.,verified,Charles Yi,2026-08-27
EV0063,5347,Tenaga Nasional Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.tnb.com.my/sustainability/our-people,web page,Company-wide flexible working arrangement under TNB Ways of Working; statutory leave disclosed.,verified,Charles Yi,2026-08-27
EV0064,5398,Gamuda Berhad,gender_equity,women_workforce_pct,35,%,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,155,"Women were 35% of workforce, at least 30% by employee category, and four of seven board members.",verified,Charles Yi,2026-08-27
EV0065,5398,Gamuda Berhad,gender_equity,women_management_pct,30,%,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,155,"Women were 35% of workforce, at least 30% by employee category, and four of seven board members.",verified,Charles Yi,2026-08-27
EV0066,5398,Gamuda Berhad,gender_equity,women_board_pct,57.1,%,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,155,"Women were 35% of workforce, at least 30% by employee category, and four of seven board members.",verified,Charles Yi,2026-08-27
EV0067,5398,Gamuda Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,155,"Women were 35% of workforce, at least 30% by employee category, and four of seven board members.",verified,Charles Yi,2026-08-27
EV0068,5681,PETRONAS Dagangan Berhad,gender_equity,women_management_pct,39,%,2025,https://www.mymesra.com.my/integrated-report-2025/,Human capital highlights,The 2025 integrated report reports 39% female representation on the Leadership Team and 37.5% female representation on the Board.,verified,Charles Yi,2026-08-27
EV0069,5681,PETRONAS Dagangan Berhad,gender_equity,women_board_pct,37.5,%,2025,https://www.mymesra.com.my/integrated-report-2025/,Human capital highlights,The 2025 integrated report reports 39% female representation on the Leadership Team and 37.5% female representation on the Board.,verified,Charles Yi,2026-08-27
EV0070,5819,Hong Leong Bank Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/About-Us/Investor-Relations/agm/2024/annual-report/hlb-annual-report-2024.pdf,117,Leave benefits and gender pay ratios disclosed; no confirmed flexible-work or leave-duration signal.,verified,Charles Yi,2026-08-27
EV0071,5878,KPJ Healthcare Berhad,gender_equity,women_workforce_pct,78.8,%,2024,https://kpj.listedcompany.com/newsroom/KPJHB_SR_2024.pdf,Fostering Our People / DEI and parental leave,"Women were 13,676 of 17,352 employees (78.8%, derived from disclosed counts); KPJ also discloses flexible work arrangements and parental-leave return and retention metrics.",verified,Charles Yi,2026-08-27
EV0072,5878,KPJ Healthcare Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://kpj.listedcompany.com/newsroom/KPJHB_SR_2024.pdf,Fostering Our People / DEI and parental leave,"Women were 13,676 of 17,352 employees (78.8%, derived from disclosed counts); KPJ also discloses flexible work arrangements and parental-leave return and retention metrics.",verified,Charles Yi,2026-08-27
EV0073,6012,Maxis Berhad,gender_equity,women_workforce_pct,43.0,%,2025,https://maxis.listedcompany.com/newsroom/Maxis_Integrated_Annual_Report_2025.pdf,"p. 67, Social / employee gender breakdown","Women represented 1,304 of 3,033 permanent and contract employees in 2025; 43.0% is derived from the report's disclosed counts.",verified,Charles Yi,2026-08-27
EV0074,6888,Axiata Group Berhad,gender_equity,women_workforce_pct,29,%,2024,https://sustainability.axiata.com/wp-content/uploads/2025/05/Axiata-Integrated-Annual-Report-2024-Sustainability-At-Core.pdf,Advancing Our People & Communities,Flex@Axiata and maternity/re-entry support; women 29% workforce and 30% senior management.,verified,Charles Yi,2026-08-27
EV0075,6888,Axiata Group Berhad,gender_equity,women_management_pct,30,%,2024,https://sustainability.axiata.com/wp-content/uploads/2025/05/Axiata-Integrated-Annual-Report-2024-Sustainability-At-Core.pdf,Advancing Our People & Communities,Flex@Axiata and maternity/re-entry support; women 29% workforce and 30% senior management.,verified,Charles Yi,2026-08-27
EV0076,6888,Axiata Group Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://sustainability.axiata.com/wp-content/uploads/2025/05/Axiata-Integrated-Annual-Report-2024-Sustainability-At-Core.pdf,Advancing Our People & Communities,Flex@Axiata and maternity/re-entry support; women 29% workforce and 30% senior management.,verified,Charles Yi,2026-08-27
EV0077,6888,Axiata Group Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://sustainability.axiata.com/wp-content/uploads/2025/05/Axiata-Integrated-Annual-Report-2024-Sustainability-At-Core.pdf,Advancing Our People & Communities,Flex@Axiata and maternity/re-entry support; women 29% workforce and 30% senior management.,verified,Charles Yi,2026-08-27
EV0078,7084,QL Resources Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://ql.com.my/wp-content/uploads/2024/07/QL-IAR2024_Key-Performance-Indicator.pdf,18,Parental leave return and retention rates disclosed by gender.,verified,Charles Yi,2026-08-27
EV0079,7106,Supermax Corporation Berhad,gender_equity,women_workforce_pct,20.2,%,2025,https://www.supermax.com.my/media/ieqjk1as/annual-report-2025.pdf,"p. 53, Workforce Composition and Diversity; Talent Management","Women were 284 of 1,409 employees (20.2%, derived from disclosed counts); Supermax also states that it offers flexible working arrangements and family-friendly policies.",verified,Charles Yi,2026-08-27
EV0080,7106,Supermax Corporation Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://www.supermax.com.my/media/ieqjk1as/annual-report-2025.pdf,"p. 53, Workforce Composition and Diversity; Talent Management","Women were 284 of 1,409 employees (20.2%, derived from disclosed counts); Supermax also states that it offers flexible working arrangements and family-friendly policies.",verified,Charles Yi,2026-08-27
EV0081,7113,Top Glove Corporation Bhd,gender_equity,women_management_pct,61,%,2025,https://tgapp.topglove.com/IAR/2025/Sustainability_Report_2025/TG_Sustainability_Report_2025.pdf,Social / Work-life Integration for Employees,"Top Glove reports 61% female leadership in managerial positions, flexible hours and WFH support for parents/caregivers, and nursing-room facilities.",verified,Charles Yi,2026-08-27
EV0082,7113,Top Glove Corporation Bhd,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://tgapp.topglove.com/IAR/2025/Sustainability_Report_2025/TG_Sustainability_Report_2025.pdf,Social / Work-life Integration for Employees,"Top Glove reports 61% female leadership in managerial positions, flexible hours and WFH support for parents/caregivers, and nursing-room facilities.",verified,Charles Yi,2026-08-27
EV0083,7113,Top Glove Corporation Bhd,policy_flex,childcare_nursing_phased_return,True,boolean,2025,https://tgapp.topglove.com/IAR/2025/Sustainability_Report_2025/TG_Sustainability_Report_2025.pdf,Social / Work-life Integration for Employees,"Top Glove reports 61% female leadership in managerial positions, flexible hours and WFH support for parents/caregivers, and nursing-room facilities.",verified,Charles Yi,2026-08-27
