source_id,company,evidence_role,source_title_year,source_url,source_page,source_type,source_tier,retrieval_and_check,notes,local_snapshot,download_status,http_status,final_url,content_type,bytes,sha256,retrieved_at,retrieval_note
SRC-028,Samaiden Group Berhad,Row evidence,Samaiden Annual Report 2025,https://www.insage.com.my/Upload/Docs/SAMAIDEN/Samaiden-Annual%20Report%202025.pdf,70-71,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_028_Samaiden_Group_Berhad.pdf,downloaded,200,https://www.insage.com.my/Upload/Docs/SAMAIDEN/Samaiden-Annual%20Report%202025.pdf,application/pdf,14661338,0944d9438bae055a3899160b4804a8adde2b4b2ce0ae6c7415081cd9ba76b46a,2026-09-10T09:56:18.238Z,Direct PDF retained from this archive run.
SRC-029,YTL Power International Berhad,Row evidence,YTL Group Sustainability Report 2025 (group-wide source),https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,76,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_029_YTL_Power_International_Berhad.pdf,downloaded,200,https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,application/pdf,18306763,8801337740dddfe18ebfd03691ac42dd3144f5427abc56fd0ed5b689c0ac5fde,2026-09-10T09:56:18.243Z,Direct PDF retained from this archive run.
SRC-030,PETRONAS Chemicals Group Berhad,Row evidence,Sustainability Performance Data (official current web source; accessed 2026-09-10),https://www.petronas.com/pcg/sustainability/sustainability-performance-data,Web - GRI 401-3 Parental leave,Official company web/careers page,Secondary - explicitly flagged,Latest source identified and qualifying passage captured,Secondary source use is visible in the row title and remains QA-gated,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.250Z,Web page not archived; web scraping is prohibited for this package.
SRC-031,Fraser & Neave Holdings Bhd,Row evidence,Fraser & Neave Holdings Bhd Annual Report 2025,https://www.fn.com.my/wp-content/uploads/2025/12/FNHB-AR25.pdf,151,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,download_failed,,,,,,2026-09-10T09:56:18.250Z,Timed out after 40000 ms
SRC-032,Nestle (Malaysia) Berhad,Row evidence,Working at Nestle | Careers (official secondary source; accessed 2026-09-10),https://www.nestle.com.my/jobs/working-at-nestle,Web - Benefits: Hybrid Working Opportunities; Parenthood Benefits,Official company web/careers page,Secondary - explicitly flagged,Latest source identified and qualifying passage captured,Secondary source use is visible in the row title and remains QA-gated,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.265Z,Web page not archived; web scraping is prohibited for this package.
SRC-033,Berjaya Food Berhad,Row evidence,Berjaya Food Berhad Annual Report 2025,https://www.berjaya.com/pdf/bfood/annual-reports/bfood25.pdf,57 (PDF p.59),"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_033_Berjaya_Food_Berhad.pdf,downloaded,200,https://www.berjaya.com/pdf/bfood/annual-reports/bfood25.pdf,application/pdf,5466373,4c19b3e78a0c9ac3351f725b6f37ef201c48512ea96c08b3fa9641adbfff676d,2026-09-10T09:56:18.265Z,Direct PDF retained from this archive run.
SRC-034,British American Tobacco (Malaysia) Berhad,Row evidence,BAT Malaysia Annual Report 2025,https://www.batmalaysia.com/content/dam/endmarkets/my/en/download/investors-and-reporting/reporting/BAT_Malaysia_AR2025.pdf,83-86,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_034_British_American_Tobacco_Malaysia_Berhad.pdf,downloaded,200,https://www.batmalaysia.com/content/dam/endmarkets/my/en/download/investors-and-reporting/reporting/BAT_Malaysia_AR2025.pdf,application/pdf,23491769,dcaf5ab0db1a338bd80a0d04ba7c07c21fd4c54175b07a622d06da4d51f0efdb,2026-09-10T09:56:18.272Z,Direct PDF retained from this archive run.
SRC-035,Ajinomoto (Malaysia) Berhad,Row evidence,Ajinomoto Annual Report 2025,https://www.ajinomoto.com.my/sites/default/files/content/annual-report/2025-07/ajinomoto-2025-annual-report.pdf,169,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_035_Ajinomoto_Malaysia_Berhad.pdf,downloaded,200,https://www.ajinomoto.com.my/sites/default/files/content/annual-report/2025-07/ajinomoto-2025-annual-report.pdf,application/pdf,10941285,a0537dbba70370be446ac3bc2f34666e022caab95045fc1f6cae8d15008740fc,2026-09-10T09:56:18.274Z,Direct PDF retained from this archive run.
SRC-036,PPB Group Berhad,Row evidence,PPB Sustainability Report 2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,42,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_036_PPB_Group_Berhad.pdf,downloaded,200,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,application/pdf,8837434,a4d5c9394acb11933438058d73d5848fbe3f46063bceef15cbf060037efb1f05,2026-09-10T09:56:18.281Z,Direct PDF retained from this archive run.
SRC-037,Kawan Food Berhad,Row evidence,Kawan Food Annual Report 2025,https://kawanfood.com/wp-content/uploads/2026/05/Bursa-Kawan-Food-Berhad-ANNUAL-REPORT-2025.pdf,38,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_037_Kawan_Food_Berhad.pdf,downloaded,200,https://kawanfood.com/wp-content/uploads/2026/05/Bursa-Kawan-Food-Berhad-ANNUAL-REPORT-2025.pdf,application/pdf,2892354,312cad73023aacf9a69a4135957d6c5125f7469d0cee8bee73560e06e6e85e45,2026-09-10T09:56:18.299Z,Direct PDF retained from this archive run.
SRC-038,PETRONAS Dagangan Berhad,Row evidence,PETRONAS Integrated Report 2025 (group-wide source),https://www.petronas.com/sites/default/files/uploads/PIR%202025/PETRONAS%20Integrated%20Report%202025.pdf,People - employee benefits,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_038_PETRONAS_Dagangan_Berhad.pdf,downloaded,200,https://www.petronas.com/sites/default/files/uploads/PIR%202025/PETRONAS%20Integrated%20Report%202025.pdf,application/pdf,10849024,a4758ac4ce5fab5d4aeb1456b881a53247a14acdc20c809f0463606caeb429d5,2026-09-10T09:56:18.301Z,Direct PDF retained from this archive run.
SRC-039,QL Resources Berhad,Row evidence,QL Resources Annual Report 2026,https://ql.listedcompany.com/misc/FlippingBook_PDF_Publisher/Publications/HTML/QL_2026/72-73/,70,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.304Z,Web page not archived; web scraping is prohibited for this package.
SRC-040,Sime Darby Berhad,Row evidence,Sime Darby Berhad Integrated Report 2025,https://www.sime.com/wp-content/uploads/2025/11/Sime-IR25_Website_Single.pdf,75 (PDF p.78),"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_040_Sime_Darby_Berhad.pdf,downloaded,200,https://www.sime.com/wp-content/uploads/2025/11/Sime-IR25_Website_Single.pdf,application/pdf,17275514,fde7bde47d2f932085059e778192065957378cd82d858cb7a68aca49b29d4546,2026-09-10T09:56:18.304Z,Direct PDF retained from this archive run.
SRC-041,KPJ Healthcare Berhad,Row evidence,KPJ Healthcare Berhad Sustainability Report 2025,https://kpj.listedcompany.com/newsroom/260428_KPJ_SR_2025_Part_2_20260428.pdf,139,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_041_KPJ_Healthcare_Berhad.pdf,downloaded,200,https://kpj.listedcompany.com/newsroom/260428_KPJ_SR_2025_Part_2_20260428.pdf,application/pdf,3276134,65f378341e0227dab1ec85060961943b12d0e12e4e5d33b7053f05f5e2cb1230,2026-09-10T09:56:18.312Z,Direct PDF retained from this archive run.
SRC-042,Duopharma Biotech Berhad,Row evidence,Duopharma Biotech Sustainability Report 2025,https://duopharmabiotech.com/downloads/esg/sustainability-reports/Duopharma-Biotech-2025-Sustainability-Report.pdf,"131-132, 139-140","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_042_Duopharma_Biotech_Berhad.pdf,downloaded,200,https://duopharmabiotech.com/downloads/esg/sustainability-reports/Duopharma-Biotech-2025-Sustainability-Report.pdf,application/pdf,12203280,aa1d6f8401fb6b2a4d733c92674e4dd5c75680ce4b5ef752b94541acd4b945aa,2026-09-10T09:56:18.315Z,Direct PDF retained from this archive run.
SRC-043,Hartalega Holdings Berhad,Row evidence,Hartalega Integrated Annual Report 2026,https://www.insage.com.my/IR/cmn/trps02/ArTopGrid.aspx?Symbol=5168,Ensuring Employee Well-being and Wellness,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.317Z,Web page not archived; web scraping is prohibited for this package.
SRC-044,Hextar Healthcare Berhad,Row evidence,Hextar Healthcare - Our Sustainability (official current web source; accessed 2026-09-10),https://hextarhealthcare.com/our-sustainability/,Web - Employee benefits,Official company web/careers page,Secondary - explicitly flagged,Latest source identified and qualifying passage captured,Secondary source use is visible in the row title and remains QA-gated,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.317Z,Web page not archived; web scraping is prohibited for this package.
SRC-045,Top Glove Corporation Bhd,Row evidence,Top Glove Sustainability Report 2025 - Part 2,https://links.sgx.com/FileOpen/TopGlove_Sustainability_Report_2025_Part_2.ashx?App=Announcement&FileID=869381,66-67,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_045_Top_Glove_Corporation_Bhd.pdf,downloaded,200,https://links.sgx.com/FileOpen/TopGlove_Sustainability_Report_2025_Part_2.ashx?App=Announcement&FileID=869381,application/pdf,2566840,a7546f919f0e82d0fe8d13a2b4231e543ac45eec618c6f0b3382ddd0f475c99b,2026-09-10T09:56:18.317Z,Direct PDF retained from this archive run.
SRC-046,IHH Healthcare Berhad,Row evidence,IHH Healthcare Sustainability Report 2025 - Part 2,https://links.sgx.com/FileOpen/2_IHH%20Healthcare%20Berhad_Sustainability%20Report%202025_Part%202.ashx?App=Announcement&FileID=885523,55,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_046_IHH_Healthcare_Berhad.pdf,downloaded,200,https://links.sgx.com/FileOpen/2_IHH%20Healthcare%20Berhad_Sustainability%20Report%202025_Part%202.ashx?App=Announcement&FileID=885523,application/pdf,2667590,95160a62c685ec095d68c444c3a23de5112add5d90aeef86ba860e8dfd06607e,2026-09-10T09:56:18.319Z,Direct PDF retained from this archive run.
